ID::ID!!I;RegionsCount::Count!!I;RegionsArea::Area!!R;RegionsAreaPercentage::Area Percentage!!R;ImageIndexTime::Image Index Time!!I;ImageSceneContainerName::Image Scene Container Name ;ImageSceneColumn::Image Scene Column Index!!I;ImageSceneRow::Image Scene Row Index!!I
;"#";"µm²";"%";;;;
1;1;7758,96;75,421092741497;1;"";0;0
1;1;7573,6;73,619297945472;2;"";0;0
1;1;7360,08;71,543773426443;3;"";0;0
1;1;7194,68;69,936000124423;4;"";0;0
1;2;6875,4;66,832433861611;5;"";0;0
1;1;6605,72;64,211005179091;6;"";0;0
1;1;5917,2;57,518235687513;7;"";0;0
1;2;5523,76;53,693795978039;8;"";0;0
1;2;5192,68;50,475527629594;9;"";0;0
1;2;4844,12;47,087344666159;10;"";0;0
1;3;4640,04;45,103581815637;11;"";0;0
1;5;4388,6;42,659455340063;12;"";0;0
1;3;4010,52;38,984322752228;13;"";0;0
1;7;3858,92;37,510692567305;14;"";0;0
1;6;3681,72;35,788217179651;15;"";0;0
1;3;3331,92;32,387980776708;16;"";0;0
1;6;3270,04;31,786475263232;17;"";0;0
1;5;3000,96;29,17087889015;18;"";0;0
1;6;2907,52;28,262593900182;19;"";0;0
1;6;2620,72;25,474749988335;20;"";0;0
1;9;2396,56;23,295799181921;21;"";0;0
1;10;2212,6;21,507613107921;22;"";0;0
1;11;2043,48;19,863679487379;23;"";0;0
1;12;1823,72;17,727498950184;24;"";0;0
1;12;1449,28;14,087749039613;25;"";0;0
